"Date","Category","Author","Title","URL"
"November 2025","AI Data","It's Pronounced Data","2025 Data, Research & Information Services Landscape","https://drive.google.com/file/d/17GXF42UvzG53x1scEDHQKUudvdWO5IJ8/view?_bhlid=fec226ca06b4d303f24578932134df715b3e9eeb?utm_source=awesome-ai-market-maps"
"November 2025","AI Data Center","Epoch AI","Frontier Data Centers","https://epoch.ai/data/data-centers?utm_source=awesome-ai-market-maps"
"November 2025","AI Data Center","NosTerra Venture Capital","The Power Grid","https://www.linkedin.com/posts/nostera-venture-capital_nosterra-venture-capital-market-map-the-activity-7396940394997133312-4m_T?utm_source=awesome-ai-market-maps"
"November 2025","DefenseTech","Emerging Defense","Defense Tech Market Map","https://emergingdefense.xyz/market-map-v2?utm_source=awesome-ai-market-maps?utm_source=awesome-ai-market-maps"
"November 2025","Energy AI","Dimitri Kremp & Paul Parenty — Axeleo Capital","AI & Energy","https://www.axc.vc/blog-posts/energy-ai?utm_source=awesome-ai-market-maps"
"November 2025","Fintech AI","Rajeev Dham & Aditya Reddy & Jasmine Yang — Sapphire Ventures","From Spreadsheet Analysts to AI Agents: Reinventing the Modern Finance Stack","https://sapphireventures.com/blog/from-spreadsheet-analysts-to-ai-agents-reinventing-the-modern-finance-stack/?utm_source=awesome-ai-market-maps"
"November 2025","Fintech AI","mostly metrics","AI's impact on finance report","https://mostlymetrics.typeform.com/to/gvDh9ocY?typeform-source=github.com/joylarkin/Awesome-AI-Market-Maps"
"November 2025","Fintech AI","Josipa Majic Predin","AI-Powered Financial Planning And The Rise Of Personalized Financial Independence Tools","https://www.forbes.com/sites/josipamajic/2025/11/06/ai-powered-financial-planning-and-the-rise-of-personalized-financial-independence-tools/?utm_source=awesome-ai-market-maps"
"November 2025","AI Hardware","Quartr","The Semiconductor Value Chain","https://x.com/Quartr_App/status/1986162811098017952"
"November 2025","AI Hardware","SemiAnalysis","ClusterMAX™ 2.0: The Industry Standard GPU Cloud Rating System","https://newsletter.semianalysis.com/p/clustermax-20-the-industry-standard?utm_source=awesome-ai-market-maps"
"November 2025","Legaltech AI","The LegalTech Fund","The RegTech Market Map (Fall 2025)","https://www.legaltech.com/post/regtech-market-map?utm_source=awesome-ai-market-maps"
"November 2025","AI Models","Gartner","2025 Gartner® Innovation Guide for Generative AI Model Providers","https://www.linkedin.com/posts/openai_openai-is-recognized-as-an-emerging-leader-activity-7396246002619383808-Vgtl?utm_source=awesome-ai-market-maps"
"November 2025","Robotics","Tuo Liu","Humanoid Robotics Companies","https://www.linkedin.com/posts/tuoliu_humanoid-robotics-is-more-than-just-hardware-activity-7399098846636716033-qtym?utm_source=awesome-ai-market-maps"
"November 2025","AI Rollups","Shawn Dimantha — Hydra Ventures","The AI Rollups Market Map: how AI Rollups are winning where vertical AI startups stumble","https://www.linkedin.com/posts/shawndimantha_ai-rollups-market-map-activity-7396220923034513408-vIW9?utm_source=awesome-ai-market-maps"
"November 2025","AI Search","Jason Cui & Steph Zhang & Jennifer Li & Sarah Wang — a16z","Search Wars: Episode 2","https://a16z.substack.com/p/search-wars-episode-2v?utm_source=awesome-ai-market-maps"
"November 2025","AI Security","Venky Ganesan & Rama Sekhar & Sam Borja — Menlo Ventures","Rethinking Security for the Age of Autonomy","https://menlovc.com/perspective/agents-for-security-and-the-opportunity-to-disrupt-securitys-giants/?utm_source=awesome-ai-market-maps"
"November 2025","AI Security","Techoperators Venture Capital","Cybersecurity + AI Startup Landscape","https://www.techoperators.com/landscape?utm_source=awesome-ai-market-maps"
"November 2025","AI Security","Kalaari Capital","AI in Cybersecurity","https://www.linkedin.com/posts/kalaari-capital_ai-technology-cybersecurity-activity-7396139320069386240-6csu?utm_source=awesome-ai-market-maps"
"November 2025","AI Security","Aleix Pérez and Criteria Venture Tech","Auto-Remediation market map: The Next Frontier in AppSec","https://cyberflow.substack.com/p/auto-remediation-market-map-the-next?utm_source=awesome-ai-market-maps"
"November 2025","AI Survey","Theory Ventures","AI in Practice Survey 2025","https://theoryvc.com/ai-in-practice-survey-2025?utm_source=awesome-ai-market-maps"
"November 2025","Top AI","Accel","The Accel Globalscape 2025: The Race for Compute featuring multiple AI Market Maps","https://www.slideshare.net/slideshow/the-accel-2025-globalscape-race-for-compute/284115583?utm_source=awesome-ai-market-maps"
"November 2025","Top AI","Jenny Xiao & Jay Zhao & and Liang Wu — Leonis Capital","The Leonis AI 100","https://www.leoniscap.com/research/the-leonis-ai-100?utm_source=awesome-ai-market-maps"
"November 2025","Top AI","Artificial Analysis","Q3 2025 State of AI","https://artificialanalysis.ai/orgs?utm_source=awesome-ai-market-maps"
"November 2025","AI Video","Justine Moore — a16z","Market map on video generation models","https://x.com/venturetwins/status/1990169320614453600?utm_source=awesome-ai-market-maps"
"November 2025","AI Everything Else","Laura McGinnis  Balderton Capital","Gen Z Guide: Redefining Demand for the Next Decade","https://ejphpcw98jt.exactdn.com/wp-content/uploads/2025/11/Balderton_State-of-GenZ.pdf?utm_source=awesome-ai-market-maps"
"November 2025","AI Everything Else","Matt Gatto & Jessie Sheff — Insight Partners","Building a moat in the age of AI","https://www.insightpartners.com/ideas/building-a-moat-in-the-age-of-ai/?utm_source=awesome-ai-market-maps"
"November 2025","AI Everything Else","SET Ventures - Market Map","AI-powered Industrial Process Efficiency Startups","https://www.linkedin.com/posts/setventures_setventures-energytech-industrialai-activity-7393920604262785025-0w-8?utm_source=awesome-ai-market-maps"
"November 2025","AI Everything Else","Legal Tech Verband Deutschland","German AI Legal Tech Market Map","https://www.linkedin.com/posts/legal-tech-verband-deutschland_legaltech-innovation-digitalisierung-activity-7393960357532438529-jffm?utm_source=awesome-ai-market-maps"
"November 2025","AI Everything Else","Remagine Ventures - The Israeli Gaming Landscape","Q4 2025","https://remagineventures.com/contenthub?utm_source=awesome-ai-market-maps"
"October 2025","AI Agents","ecommert","Agentic commerce map for CPG & FMCG brands","https://www.linkedin.com/posts/mert-damlapinar_cpg-fmcg-ecommerce-activity-7382125082342481920-DY6k?utm_source=awesome-ai-market-maps"
"October 2025","AI Agents","Vig Sachidananda & Denise Teng — Gradient","Our Investment in Anchor","https://www.gradient.com/blog/posts/anchor-browser/?utm_source=awesome-ai-market-maps"
"October 2025","AI Agents","George Mathew & Hunter Korn & Ash Tutika & William Blackwell — Insight Partners","Securing the autonomous future: Trust, safety, and reliability of agentic AI","https://www.insightpartners.com/ideas/securing-agentic-ai/?utm_source=awesome-ai-market-maps"
"October 2025","AI Applications","Olivia Moore & Marc Andrusko & Seema Amble — a16z","The AI Application Spending Report: Where Startup Dollars Really Go","https://a16z.com/the-ai-application-spending-report-where-startup-dollars-really-go/?utm_source=awesome-ai-market-maps"
"October 2025","Conversational AI","Assaf Harel & Jonathan Schwartz — Norwest","Bringing Enterprise-Grade AI Agents to Healthcare: Why We’re Backing Hyro","https://www.norwest.com/blog/why-were-backing-hyro/?utm_source=awesome-ai-market-maps"
"October 2025","AI Datacenter","Laura Katzman — Buoyant VC","Efficient Compute: Why Optimization Is Now Inevitable","https://www.buoyant.vc/blog/efficient-compute-why-optimization-is-now-inevitable?utm_source=awesome-ai-market-maps"
"October 2025","AI DevTools","Guido Appenzeller & Yoko Li — a16z","The Trillion Dollar AI Software Development Stack","https://a16z.com/the-trillion-dollar-ai-software-development-stack/?utm_source=awesome-ai-market-maps"
"October 2025","AI DevTools","Jennifer Bemert — XAnge","Inside LLMOps: The Emerging Market Map for AI Agents","https://www.xange.vc/knowledge-hub/llm-ops_market-map-2025?utm_source=awesome-ai-market-maps"
"October 2025","AI DevTools","Eric Fett — NGP Capital","Evals Are the New Moat—And RL Turns Them into Your Product Advantage","https://www.ngpcap.com/insights/evals-are-the-new-moat--and-rl-turns-them-into-your-product-advantage?utm_source=awesome-ai-market-maps"
"October 2025","AI DevTools","CB Insights","The AI software development market map","https://www.cbinsights.com/research/ai-software-development-market-map/?utm_source=awesome-ai-market-maps"
"October 2025","Enterprise AI","Emmanuel Benhamou — BGV","Mapping the Human–AI Frontier: Where Intelligence Meets Enterprise","https://medium.com/@emmanuel.benhamou/mapping-the-human-ai-frontier-where-intelligence-meets-enterprise-2482563b5ed6?utm_source=awesome-ai-market-maps"
"October 2025","Fintech AI","Laura Bock & Shruti Batra — QED Investors","Finance's back office is entering its biggest upgrade cycle in decades","https://www.qedinvestors.com/blog/finances-back-office-is-entering-its-biggest-upgrade-cycle-in-decades?utm_source=awesome-ai-market-maps"
"October 2025","Fintech AI","The Private Markets Forum","AI in Private Markets","https://www.private-markets.com/lead-magnet-page/ai-in-private-markets-directory?utm_source=awesome-ai-market-maps"
"October 2025","Fintech AI","The Wealth Mosaic","The AI WealthTech Market Map, October 2025","https://www.thewealthmosaic.com/vendors/the-wealth-mosaic/news/the-ai-wealthtech-market-map-october-2025/?utm_source=awesome-ai-market-maps"
"October 2025","Healthcare AI","Greg Yap & Derek Xiao & Johnny Hu Ph.D. & JP Sanday & Croom Beatty — Menlo Ventures","2025: The State of AI in Healthcare","https://menlovc.com/perspective/2025-the-state-of-ai-in-healthcare/?utm_source=awesome-ai-market-maps"
"October 2025","Industrial AI","ArcInsight Partners","Industrial AI Market Map","https://www.linkedin.com/posts/arcinsight-partners_industrial-ai-activity-7386621722277351424-iG-z?utm_source=awesome-ai-market-maps"
"October 2025","AI Infra","CB Insights","AI inference and processing","https://www.linkedin.com/posts/jason-salt_the-limit-of-ai-is-compute-especially-when-activity-7387207161136852992-UKxS?utm_source=awesome-ai-market-maps"
"October 2025","Open Source AI","Synaptic","Model Behavior: Open Source AI","https://research.synaptic.com/resources/market-overviews/model-behavior-open-source-ai?utm_source=awesome-ai-market-maps"
"October 2025","Retail AI","Ken Fenyo","AI & Computer Vision Market Map","https://www.linkedin.com/posts/kenfenyo_i-recently-published-a-market-map-on-the-activity-7389309948465385473-VXI4?utm_source=awesome-ai-market-maps"
"October 2025","Robotics","Merphi","Humanoid robots 2025","https://www.merphi.se/download-robotic-poster/?utm_source=awesome-ai-market-maps"
"October 2025","Robotics","Lonne Jaffe & Adithya Sanjay & Sourish Jasti — Insight Partners","The state of the robotics ecosystem: The tech, use cases, and field deployment","https://www.insightpartners.com/ideas/the-state-of-the-robotics-ecosystem/?utm_source=awesome-ai-market-maps"
"October 2025","Robotics","Arthur Brasseur & Isabel Young & Augustin Collot — Atlantic Vantage Point","The Global Robotics Race and How They Actually Work","https://avpcap.com/the-global-robotics-race-and-how-robots-actually-work/?utm_source=awesome-ai-market-maps"
"October 2025","AI Security","Kathryn Shih & Jimmy Park — Forgepoint Capital","Margin of Safety #30: Autonomous Remediation","https://mofsafety.substack.com/p/margin-of-safety-30-autonomous-remediation?utm_source=awesome-ai-market-maps"
"October 2025","Semiconductors","Spector","Semiconductor Market Map","https://www.linkedin.com/posts/specterhq_semiconductors-activity-7381328079006220288-LgrX?utm_source=awesome-ai-market-maps"
"October 2025","Top AI","Matt Turck & Aman Kabeer — Firstmark","The 2025 MAD (ML, AI & Data) Landscape","https://mad.firstmark.com/?utm_source=awesome-ai-market-maps"
"October 2025","Top AI","Redpoint Ventures","AI 64","https://www.redpoint.com/ai64/?utm_source=awesome-ai-market-maps"
"October 2025","Top AI","Greenfield & TechCrunch Disrupt","AI Disruptors 60","https://www.disruptors60.ai/?utm_source=awesome-ai-market-maps"
"October 2025","AI Video","Justine Moore — a16z","There is no God Tier video model","https://a16z.substack.com/p/there-is-no-god-tier-video-model?utm_source=awesome-ai-market-maps"
"October 2025","AI Everything Else","Greg Paterson & Nic Brisbourne — Molten Ventures","Molten's UK Generative AI Market Map 2025","https://www.moltenventures.com/insights/moltens-uk-generative-ai-market-map-2025?utm_source=awesome-ai-market-maps"
"October 2025","AI Everything Else","Equal Ventures","AI x wholesale","https://www.linkedin.com/posts/zhangchelsea_wholesale-commerce-ai-activity-7381702658958479360-7l02?utm_source=awesome-ai-market-maps"
"October 2025","AI Everything Else","Ivan Montoya","2025 Mexico Early Stage 100","https://www.linkedin.com/posts/ivanmontoya1_2025-mexico-early-stage-100-activity-7382048452454748160-QS_i?utm_source=awesome-ai-market-maps"
"October 2025","AI Everything Else","Cherie Hu — Water & Music","Music Tech Highlights: 2025 Investments","https://www.linkedin.com/posts/cheriehu_musicindustry-musictech-venturecapital-activity-7389004799976878098-LIBQ?utm_source=awesome-ai-market-maps"
"September 2025","AI Agents","Jelena Zec & Jeff Flynn & Robert Li & Lucas Kirshenbaum — Citi Ventures","Agentic commerce at scale: Why startups are key in building robust AI-powered shopping experiences","https://www.citi.com/ventures/perspectives/opinion/agentic-commerce-why-startups-are-key.html?utm_source=awesome-ai-market-maps"
"September 2025","AI Agents","Laura Salesse — Eight Roads - Fintech x AI","part 2 : The rise of agentic payment infrastructure","https://www.linkedin.com/pulse/fintech-x-ai-part-2-rise-agentic-payment-laura-salesse-bo5re/?trackingId=jlR6snACTke4JoApBF9qsQ%3D%3D&utm_source=awesome-ai-market-maps"
"September 2025","AI Agents","Kenn So — Generational","Agents at Work","https://www.generational.pub/p/agents-at-work?utm_source=awesome-ai-market-maps"
"September 2025","Biopharma AI","Emergent Ventures","AI Opportunities in Biopharma: Early Signals","https://www.emergent.vc/blog/opportunities-for-ai-in-biopharma-early-signals?utm_source=awesome-ai-market-maps"
"September 2025","Construction AI","Varad Mohod — Plug and Play Ventures","What’s Next for AI in Construction Tech?","https://www.linkedin.com/posts/varad-mohod_whats-next-for-ai-in-construction-tech-activity-7369043759516319744-7RFp?utm_source=awesome-ai-market-maps"
"September 2025","AI Data Center","Future Energy Ventures","Data Center Market Map","https://www.linkedin.com/posts/futureenergyventures_data-center-market-map-by-fev-activity-7368913517925597185-3tiS?utm_source=awesome-ai-market-maps"
"September 2025","AI Data Center","Fortino Capital Partners","AI is reshaping the MSP industry, what are the opportunities?","https://www.fortinocapital.com/blog/ai-reshaping-msp-industry-what-are-opportunities?utm_source=awesome-ai-market-maps"
"September 2025","AI DevTools","Canaccord Genuity","Pure-play DBMS Ecosystem (Commercial Providers)","https://www.linkedin.com/posts/nicolas-hourcard-cfa-b7349b37_postgres-realtime-timeseries-activity-7379173611485437953-Bdr8?utm_source=awesome-ai-market-maps"
"September 2025","Energy AI","Remarkable Ventures Climate","AI and Energy Market Landscape, version 2: 195 AI Companies Powering the Future of Energy","https://airtable.com/app68AZGbQLyNhrDh/shrVJy9bskvpPt4cs/tblzlhqtg9LdBo8YV?utm_source=awesome-ai-market-maps"
"September 2025","Fintech AI","Anirudh Sathya","A market map of all the M&A/PE tech companies that I know of","https://www.linkedin.com/posts/anirudh-sathya_pe-mergers-marketmap-activity-7372688330553053184-nn0a?utm_source=awesome-ai-market-maps"
"September 2025","Healthcare AI","dentaiware","The Dental AI & Software Market Map","https://www.linkedin.com/posts/andreas-augat_ai-and-software-are-reshaping-dentistry-activity-7369342247227539456-Noiq?utm_source=awesome-ai-market-maps"
"September 2025","Healthcare AI","Specter","EU HealthTech Landscape 2025","https://insights.tryspecter.com/eu-healthtech-landscape-2025/?utm_source=awesome-ai-market-maps"
"September 2025","Healthcare AI","HealthTechX Global","Healthtech AI and Automation I & UK Market Map","https://www.linkedin.com/posts/derrick-khor_how-many-homegrown-clinical-ai-and-automation-activity-7373989206966059008-rFPz?utm_source=awesome-ai-market-maps"
"September 2025","Healthcare AI","Cathy Gao & Misty Liao & Callum Kuo & Aditya Reddy — Sapphire Ventures","The AI Healthcare Stack: Data Activation, Automation and the 10x Provider","https://sapphireventures.com/blog/ai-healthcare-stack-data-automation-10x-provider-2025/?utm_source=awesome-ai-market-maps"
"September 2025","Legaltech AI","Legaltech Hub","LTH GenAI Legal Tech Map: September 2025","https://www.legaltechnologyhub.com/contents/lth-genai-legal-tech-map-september-2025/?utm_source=awesome-ai-market-maps"
"September 2025","Legaltech AI","CB Insights","The legaltech market map","https://www.linkedin.com/posts/jason-salt_140-companies-making-the-case-for-legal-activity-7376326108415389696-ntNO?utm_source=awesome-ai-market-maps"
"September 2025","AI Observability","Paweł Huryn","The Ultimate Guide to AI Observability and Evaluation Platforms","https://www.productcompass.pm/p/ai-observability-evaluation-platforms?utm_source=awesome-ai-market-maps"
"September 2025","Procurement AI","Amedeo Lorenzotti — M13","Market Map: Gov't Contracting Technology","https://www.linkedin.com/posts/amedeo-lorenzotti-847b39166_founders-are-showing-up-where-the-incumbents-activity-7372377686867886081-QPIt/?utm_source=awesome-ai-market-maps"
"September 2025","Robotics","Connie Biel — Montage Ventures","Robotics Market Map","https://www.linkedin.com/posts/connielwang_at-montage-ventures-we-invest-in-ai-applications-activity-7378851875325927424-dPcc?utm_source=awesome-ai-market-maps"
"September 2025","AI Search","Rebecca Rodseth & Marc Wu & Teddy Cohen — Activant Capital","Enterprise Search Is Entering a New Era","https://activantcapital.com/research/enterprise-search-is-entering-a-new-era?utm_source=awesome-ai-market-maps"
"September 2025","AI Startups","Theory Ventures","A Living Market Map","https://theoryvc.com?utm_source=awesome-ai-market-maps"
"September 2025","Voice AI","Rohil Bagga — Lightspeed India","Voice AI Market Map","https://www.linkedin.com/posts/rohil-bagga-2b61b6181_voice-ai-is-having-its-moment-in-the-past-activity-7378697042581315584-QLsa?utm_source=awesome-ai-market-maps"
"September 2025","AI Everything Else","Daisy Zhao & Olivia Moore — a16z","The AI-Native Office Suite – Can AI Do Work For You?","https://a16z.com/the-ai-native-office-suite-can-ai-do-work-for-you/?utm_source=awesome-ai-market-maps"
"September 2025","AI Everything Else","GoHub Ventures","European Defense Tech Market Map","https://x.com/GoHubVentures/status/1968213404822409235?utm_source=awesome-ai-market-maps"
"September 2025","AI Everything Else","Priscilla Russo — Redpoint Ventures","Design at the Speed of AI","https://www.linkedin.com/pulse/design-speed-ai-priscilla-russo-8kevc/?utm_source=awesome-ai-market-maps"
"September 2025","AI Everything Else","Patricia Haueiss","Australia’s AI Ecosystem","https://ai-in-australia.com/?utm_source=awesome-ai-market-maps"
"September 2025","AI Everything Else","Jonathan Userovici & Astrid Moullé-Berteaux & Cyprien Benoist — Headline","Introducing the AI Europe 100","https://headline.com/blog-latest/article-latest/ai-europe-100?utm_source=awesome-ai-market-maps"
"August 2025","AI Agents","CB Insights","The AI Agent Tech Stack: The Infrastructure Powering Autonomous AI","https://www.linkedin.com/posts/jason-salt_the-ai-agent-tech-stack-the-infrastructure-activity-7363322879712624640-Acfp?utm_source=awesome-ai-market-maps"
"August 2025","AI Agents","Leo Lu & Joanne Chen — Foundation Capital","How AI agents will redefine market research","https://foundationcapital.com/how-ai-agents-will-redefine-user-research/?utm_source=awesome-ai-market-maps"
"August 2025","AI Agents","Joanna Graiver — OpenOcean","The state of agentic AI in 2025: what’s working, what isn’t, and what’s next","https://www.openocean.vc/articles/the-state-of-agentic-ai-in-2025-whats-working-what-isnt-and-whats-next?utm_source=awesome-ai-market-maps"
"August 2025","AI Agents","Eric Zhou & Yoko Li & Seema Amble & Jennifer Li — a16z","The Rise of Computer Use and Agentic Coworkers","https://a16z.com/the-rise-of-computer-use-and-agentic-coworkers/?utm_source=awesome-ai-market-maps"
"August 2025","AI Agents","dealroom.co","1.5k+ AI Agents","https://app.dealroom.co/lists/53885?utm_source=awesome-ai-market-maps"
"August 2025","AI App Builders","Gabriel Vasquez & Stephenie Zhang & and Yoko Li — a16z","One Prompt, Zero Engineers: Your New Internal Dev","https://a16z.com/one-prompt-zero-engineers-your-new-internal-dev/?utm_source=awesome-ai-market-maps"
"August 2025","AI Browsers","Can Gurel — Delphi Intelligence","Browser Wars Got Personal","https://www.delphiintelligence.io/research/browser-wars-got-personal?utm_source=awesome-ai-market-maps"
"August 2025","Consumer AI","Olivia Moore & Daisy Zhao — a16z","The Top 100 Gen AI Consumer Apps 5th Edition","https://a16z.com/100-gen-ai-apps-5/?utm_source=awesome-ai-market-maps"
"August 2025","AI Customer Support","Norwest","AI Native Customer Support Market Map","https://www.linkedin.com/posts/norwest-venture-partners_this-year-alone-organizations-around-the-activity-7361461976708911105-uP3C?utm_source=awesome-ai-market-maps"
"August 2025","AI DevTools","Janelle Teng & Lauri Moore & Lindsey Li & Libbie Frost — Bessemer Venture Partners","Roadmap: Developer Tooling for Software 3.0","https://www.bvp.com/atlas/roadmap-developer-tooling-for-software-3-0?utm_source=awesome-ai-market-maps"
"August 2025","Fintech AI","Dave Wang","I mapped 81 AI companies disrupting Wall Street","https://www.linkedin.com/posts/davewangmia_i-mapped-81-ai-companies-disrupting-wall-activity-7358518819625000960-578I?utm_source=awesome-ai-market-maps"
"August 2025","Fintech AI","Alloy Alchemist Fund","AI Compliance for Financial Institutions","https://docs.google.com/spreadsheets/d/1vKnqE19OIcOpIlaptbbmIiA8ZsWxN9QVLoi8G4pUtaQ/edit?gid=0&utm_source=awesome-ai-market-maps#gid=0"
"August 2025","Healthcare AI","Zach Teiger","AI is Impacting the Way We Track","https://zachteiger.substack.com/p/ai-is-impacting-the-way-we-track?r=1q9x6c&utm_source=awesome-ai-market-maps"
"August 2025","Healthcare AI","Fiat Ventures","The Healthcare & Fintech Market Map","https://www.fiat.vc/post/the-healthcare-and-fintech-market-map?utm_source=awesome-ai-market-maps"
"August 2025","Logistics AI","Chelsea Zhang & Christo Ritter & Ali Afridi — Equal Ventures","Logistics x AI | The First Wave of Gen AI","https://newsletter.equal.vc/p/logistics-ai?utm_source=awesome-ai-market-maps"
"August 2025","Open Models","LMArena","August 2025: Top 10 Open Models by Provider (Text)","https://www.linkedin.com/posts/lmarena_openmodels-aitrends-activity-7361462179671265281-k9uT?utm_source=awesome-ai-market-maps"
"August 2025","Open Models","Nathan Lambert & Florian Brand — Interconnects","Ranking the Chinese Open Model Builders","https://www.interconnects.ai/p/chinas-top-19-open-model-labs?utm_source=awesome-ai-market-maps"
"August 2025","AI Security","Sapphire Ventures","State of Cybersecurity: Growth, Risk, and Resilience","https://sapphireventures.com/blog/state-of-cybersecurity-growth-risk-and-resilience/?utm_source=awesome-ai-market-maps"
"August 2025","AI Software Development","Stellaris Venture Partners","Building in AI x SDLC","https://www.linkedin.com/posts/vardhan-dharnidharka_so-stellaris-venture-partners-created-a-market-activity-7363819358747303936-l5Gn?utm_source=awesome-ai-market-maps"
"August 2025","Voice AI","Sierra Ventures","Transforming Voice: Market Map of 150+ Voice AI Companies","https://www.sierraventures.com/content/voice-ai-market-map?utm_source=awesome-ai-market-maps"
"August 2025","AI Everthing Else","Katy Rea — Bessemer Venture Partners","Roadmap: Public Safety AI","https://www.bvp.com/atlas/roadmap-public-safety-ai?utm_source=awesome-ai-market-maps"
"August 2025","AI Everthing Else","Denise Teng — Gradient","Always-On Iteration: How AI Transforms Product Feedback, Analytics, and Prototyping","https://www.gradient.com/blog/posts/how-ai-transforms-product-feedback/?utm_source=awesome-ai-market-maps"
"August 2025","AI Everthing Else","The Techshop SGR","Agentic AI: Italy","https://www.linkedin.com/posts/techshopcapital_agentic-ai-italy-is-on-the-mapactually-activity-7366788974897520640-aoZ3?utm_source=awesome-ai-market-maps"
"July 2025","AI Agents","Venky Ganesan & Rama Sekhar & Feyza Haskaraman & Sam Borja — Menlo Ventures","Security for Agents and Agents for Security: The Next Cybersecurity Frontier","https://menlovc.com/perspective/security-for-agents-and-agents-for-security-the-next-cybersecurity-frontier/?utm_source=awesome-ai-market-maps"
